"ServiceNo","Operator","Direction","StopSequence","BusStopCode","Distance","WD_FirstBus","WD_LastBus","SAT_FirstBus","SAT_LastBus","SUN_FirstBus","SUN_LastBus"
"10","SBST","1","51","14081","22.5","0606","0003","0602","0007","0601","0004"
"10","SBST","1","52","14101","22.9","0607","0004","0603","0008","0602","0004"
"10","SBST","1","53","14141","23.7","0609","0006","0604","0010","0603","0006"
"10","SBST","1","54","14121","24","0610","0007","0605","0011","0604","0007"
"10","SBST","1","55","14131","24.4","0611","0008","0606","0012","0605","0008"
"10","SBST","1","56","14151","24.9","0612","0010","0607","0014","0606","0009"
"10","SBST","1","57","14161","25.3","0613","0011","0608","0015","0607","0010"
"10","SBST","1","58","14171","25.7","0614","0012","0609","0016","0608","0011"
"10","SBST","1","59","15141","26.4","0616","0014","0610","0017","0609","0012"
"10","SBST","1","60","15151","26.7","0617","0014","0611","0018","0610","0013"
"10","SBST","1","61","15161","26.9","0618","0015","0611","0018","0610","0013"
"10","SBST","1","62","15191","27.4","0619","0016","0612","0019","0611","0014"
"10","SBST","1","63","15201","27.7","0620","0017","0613","0020","0612","0015"
"10","SBST","1","64","15221","28.3","0621","0018","0614","0021","0613","0016"
"10","SBST","1","65","16201","28.6","0622","0018","0614","0021","0613","0017"
"10","SBST","1","66","16011","28.9","0623","0019","0615","0022","0614","0018"
"10","SBST","1","67","16021","29.4","0624","0020","0616","0023","0615","0019"
"10","SBST","1","68","16031","29.7","0625","0021","0617","0024","0616","0020"
"10","SBST","1","69","16041","29.9","0625","0021","0617","0025","0616","0020"
"10","SBST","1","70","16051","30.2","0626","0022","0618","0025","0617","0021"
"10","SBST","1","71","16061","30.4","0626","0022","0618","0026","0617","0021"
"10","SBST","1","72","16071","30.7","0627","0023","0619","0027","0618","0022"
"10","SBST","1","73","16081","31","0628","0023","0620","0028","0619","0023"
"10","SBST","1","74","16009","31.5","0630","0024","0622","0029","0621","0024"
